Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
1,34,Other,4,5.333333333333334,77,129348
0,37,Media,2,6.333333333333334,56,330566
0,46,Other,4,9.333333333333334,89,456160
0,32,Media,2,4.666666666666666,95,188788
1,41,Engineering,0,7.666666666666666,39,221908
0,34,Other,4,5.333333333333334,17,283287
1,46,Other,4,9.333333333333334,16,298103
1,37,Other,4,6.333333333333334,61,189612
0,31,Media,2,4.333333333333334,49,100576
0,30,Engineering,0,4.0,24,246040
0,34,Other,4,5.333333333333334,62,237740
0,39,Tech,7,7.0,80,348884
0,31,Engineering,0,4.333333333333334,36,183431
0,34,Tech,7,5.333333333333334,85,237598
1,31,Media,2,4.333333333333334,30,15294
0,37,Finance,1,6.333333333333334,106,91837
0,38,Operations,3,6.666666666666666,164,280266
0,35,Media,2,5.666666666666666,54,380720
0,43,Finance,1,8.333333333333334,121,492954
0,32,Product,5,4.666666666666666,33,229266
0,36,Media,2,6.0,55,243805
0,33,Media,2,5.0,65,286098
1,35,Other,4,5.666666666666666,16,360603
1,37,Other,4,6.333333333333334,99,120674
0,41,Tech,7,7.666666666666666,64,422922
0,40,Finance,1,7.333333333333334,112,162978
0,34,Tech,7,5.333333333333334,56,222380
0,36,Media,2,6.0,60,173960
1,33,Tech,7,5.0,58,160893
0,35,Other,4,5.666666666666666,158,314797
0,41,Tech,7,7.666666666666666,40,209262
1,35,Other,4,5.666666666666666,91,159805
1,49,Engineering,0,10.333333333333332,39,181728
1,36,Other,4,6.0,40,263207
1,39,Other,4,7.0,37,101757
0,32,Finance,1,4.666666666666666,72,115594
0,44,Tech,7,8.666666666666666,190,290207
0,28,Other,4,3.333333333333334,34,126536
1,31,Other,4,4.333333333333334,103,190359
0,35,Other,4,5.666666666666666,56,233004
0,37,Media,2,6.333333333333334,91,171305
0,31,Finance,1,4.333333333333334,33,77513
0,36,Media,2,6.0,38,264375
0,32,Tech,7,4.666666666666666,57,204704
0,30,Tech,7,4.0,83,155130
0,36,Sales,6,6.0,83,162081
0,56,Tech,7,12.666666666666668,68,614940
0,33,Tech,7,5.0,84,109816
0,32,Finance,1,4.666666666666666,28,75997
0,32,Other,4,4.666666666666666,74,92346
0,37,Other,4,6.333333333333334,28,219914
0,36,Finance,1,6.0,88,110761
0,31,Tech,7,4.333333333333334,10,104133
0,34,Finance,1,5.333333333333334,83,136574
0,39,Other,4,7.0,39,486983
1,29,Other,4,3.666666666666666,36,113284
1,29,Tech,7,3.666666666666666,58,229033
0,33,Operations,3,5.0,95,166870
0,35,Tech,7,5.666666666666666,37,214580
0,32,Other,4,4.666666666666666,51,158260
0,36,Tech,7,6.0,15,261951
0,32,Media,2,4.666666666666666,48,267066
0,30,Other,4,4.0,79,187260
0,35,Finance,1,5.666666666666666,93,119158
1,29,Finance,1,3.666666666666666,22,83591
1,35,Finance,1,5.666666666666666,70,119909
0,35,Tech,7,5.666666666666666,71,184600
0,27,Other,4,3.0,81,103347
0,30,Tech,7,4.0,64,90095
0,32,Tech,7,4.666666666666666,30,189110
0,39,Other,4,7.0,91,199835
0,32,Media,2,4.666666666666666,66,226285
0,36,Tech,7,6.0,113,143287
0,37,Product,5,6.333333333333334,134,214853
0,31,Other,4,4.333333333333334,62,159893
0,41,Tech,7,7.666666666666666,120,297612
1,37,Other,4,6.333333333333334,120,120608
0,27,Tech,7,3.0,23,109930
0,35,Tech,7,5.666666666666666,141,235743
0,30,Media,2,4.0,34,195495
1,37,Finance,1,6.333333333333334,144,130158
0,29,Tech,7,3.666666666666666,36,159908
1,36,Other,4,6.0,33,96081
0,37,Other,4,6.333333333333334,132,225741
0,29,Other,4,3.666666666666666,48,100337
0,44,Other,4,8.666666666666666,164,400372
0,34,Tech,7,5.333333333333334,43,121024
1,28,Tech,7,3.333333333333334,39,103601
0,32,Tech,7,4.666666666666666,39,270853
0,37,Operations,3,6.333333333333334,150,225669
0,31,Tech,7,4.333333333333334,34,97495
0,32,Other,4,4.666666666666666,59,69255
1,29,Other,4,3.666666666666666,31,168744
0,38,Tech,7,6.666666666666666,93,166308
1,50,Other,4,10.666666666666668,85,240530
0,29,Tech,7,3.666666666666666,97,247988
0,41,Other,4,7.666666666666666,60,124970
0,30,Other,4,4.0,37,70716
0,33,Other,4,5.0,25,188956
0,30,Tech,7,4.0,60,166223
0,33,Other,4,5.0,30,230473
0,30,Media,2,4.0,40,221303
0,31,Other,4,4.333333333333334,91,213584
0,32,Tech,7,4.666666666666666,50,225695
1,30,Finance,1,4.0,11,94365
1,30,Other,4,4.0,11,100341
1,30,Finance,1,4.0,51,87616
0,34,Other,4,5.333333333333334,57,119519
0,37,Other,4,6.333333333333334,92,117344
0,29,Other,4,3.666666666666666,57,246201
0,33,Other,4,5.0,35,159007
0,36,Tech,7,6.0,93,355671
0,33,Product,5,5.0,85,213017
0,35,Engineering,0,5.666666666666666,33,255399
1,33,Other,4,5.0,94,197793
0,36,Other,4,6.0,32,237438
0,29,Other,4,3.666666666666666,40,141053
0,41,Media,2,7.666666666666666,87,638987
0,34,Tech,7,5.333333333333334,50,249868
1,30,Other,4,4.0,68,156414
0,36,Media,2,6.0,53,183561
0,44,Finance,1,8.666666666666666,129,154895
0,35,Tech,7,5.666666666666666,48,179855
0,37,Engineering,0,6.333333333333334,18,296225
0,43,Tech,7,8.333333333333334,125,764148
0,38,Media,2,6.666666666666666,117,420806
0,35,Other,4,5.666666666666666,117,168377
0,29,Other,4,3.666666666666666,35,130485
0,40,Engineering,0,7.333333333333334,162,313899
0,33,Tech,7,5.0,57,215817
